,importance
date_dayofyear_cos,0.18032123
date_period,0.15467624
date_week_cos,0.14226991
date_weekday,0.09235633
tempmax,0.08326808
date_year,0.08226274
date_isholiday,0.045349136
temp,0.044927996
date_daypart,0.037965737
date_hour_sin,0.030670516
date_period_sin,0.022146365
date_dayofyear,0.014838062
date_week,0.009858262
date_month_cos,0.008162529
date_month_sin,0.0070708147
date_quarter_cos,0.006084678
date_hour_cos,0.0058807707
date_period_cos,0.005716766
humidity,0.0038904655
date_quarter_sin,0.0035031955
tempmin,0.0033685004
date_week_sin,0.002936667
